Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 23, 23, 0, 40
0, 4, 8, 1, 23, 25.5, 0.450, 1.376, 0.004


0, 4, 8, 2, 23, 25.5, 0.440, 1.369, 0.004


0, 4, 8, 3, 23, 25.5, 0.450, 1.387, 0.004


0, 4, 8, 4, 23, 25.5, 0.450, 1.382, 0.004


0, 4, 8, 0, 23, 25.75, 0.460, 1.374, 0.004


0, 4, 8, 1, 23, 25.75, 0.450, 1.375, 0.004


0, 4, 8, 2, 23, 25.75, 0.450, 1.383, 0.004


0, 4, 8, 3, 23, 25.75, 0.480, 1.364, 0.004


0, 4, 8, 4, 23, 25.75, 0.450, 1.372, 0.004


0, 4, 8, 0, 23, 26, 0.470, 1.374, 0.004


0, 4, 8, 1, 23, 26, 0.470, 1.385, 0.004


0, 4, 8, 2, 23, 26, 0.460, 1.384, 0.004


0, 4, 8, 3, 23, 26, 0.470, 1.376, 0.004


0, 4, 8, 4, 23, 26, 0.460, 1.383, 0.004


0, 4, 8, 0, 23, 26.25, 0.470, 1.381, 0.004


0, 4, 8, 1, 23, 26.25, 0.480, 1.379, 0.004


0, 4, 8, 2, 23, 26.25, 0.480, 1.377, 0.004


0, 4, 8, 3, 23, 26.25, 0.470, 1.371, 0.004


0, 4, 8, 4, 23, 26.25, 0.480, 1.381, 0.004


0, 4, 8, 0, 23, 26.5, 0.480, 1.370, 0.004


0, 4, 8, 1, 23, 26.5, 0.480, 1.374, 0.004


0, 4, 8, 2, 23, 26.5, 0.480, 1.380, 0.004


0, 4, 8, 3, 23, 26.5, 0.490, 1.376, 0.004


0, 4, 8, 4, 23, 26.5, 0.490, 1.368, 0.004


0, 4, 8, 0, 23, 26.75, 0.500, 1.386, 0.004


0, 4, 8, 1, 23, 26.75, 0.510, 1.384, 0.004


0, 4, 8, 2, 23, 26.75, 0.490, 1.382, 0.004


0, 4, 8, 3, 23, 26.75, 0.500, 1.382, 0.004


0, 4, 8, 4, 23, 26.75, 0.490, 1.373, 0.004


0, 4, 8, 0, 23, 27, 0.510, 1.381, 0.004


0, 4, 8, 1, 23, 27, 0.500, 1.373, 0.004


0, 4, 8, 2, 23, 27, 0.500, 1.384, 0.004


0, 4, 8, 3, 23, 27, 0.490, 1.383, 0.004


0, 4, 8, 4, 23, 27, 0.490, 1.381, 0.004


0, 4, 8, 0, 23, 27.25, 0.510, 1.374, 0.004


0, 4, 8, 1, 23, 27.25, 0.520, 1.381, 0.004


0, 4, 8, 2, 23, 27.25, 0.510, 1.384, 0.004


0, 4, 8, 3, 23, 27.25, 0.510, 1.376, 0.004


0, 4, 8, 4, 23, 27.25, 0.510, 1.389, 0.004


0, 4, 8, 0, 23, 27.5, 0.510, 1.395, 0.004


0, 4, 8, 1, 23, 27.5, 0.510, 1.383, 0.004


0, 4, 8, 2, 23, 27.5, 0.520, 1.385, 0.004


0, 4, 8, 3, 23, 27.5, 0.520, 1.379, 0.004


0, 4, 8, 4, 23, 27.5, 0.530, 1.375, 0.004


0, 4, 8, 0, 23, 27.75, 0.540, 1.372, 0.004


0, 4, 8, 1, 23, 27.75, 0.530, 1.378, 0.004


0, 4, 8, 2, 23, 27.75, 0.540, 1.382, 0.004


0, 4, 8, 3, 23, 27.75, 0.510, 1.373, 0.004


0, 4, 8, 4, 23, 27.75, 0.540, 1.376, 0.004


0, 4, 8, 0, 23, 28, 0.540, 1.352, 0.004


0, 4, 8, 1, 23, 28, 0.550, 1.327, 0.004


0, 4, 8, 2, 23, 28, 0.560, 1.371, 0.004


0, 4, 8, 3, 23, 28, 0.530, 1.373, 0.004


0, 4, 8, 4, 23, 28, 0.560, 1.381, 0.004


0, 4, 8, 0, 23, 28.25, 0.560, 1.376, 0.004


0, 4, 8, 1, 23, 28.25, 0.560, 1.373, 0.004


0, 4, 8, 2, 23, 28.25, 0.550, 1.384, 0.004


0, 4, 8, 3, 23, 28.25, 0.560, 1.377, 0.004


0, 4, 8, 4, 23, 28.25, 0.570, 1.371, 0.004


0, 4, 8, 0, 23, 28.5, 0.560, 1.375, 0.004


0, 4, 8, 1, 23, 28.5, 0.570, 1.324, 0.004


0, 4, 8, 2, 23, 28.5, 0.560, 1.376, 0.004


0, 4, 8, 3, 23, 28.5, 0.560, 1.387, 0.004


0, 4, 8, 4, 23, 28.5, 0.560, 1.378, 0.004


0, 4, 8, 0, 23, 28.75, 0.570, 1.362, 0.004


0, 4, 8, 1, 23, 28.75, 0.570, 1.381, 0.004


0, 4, 8, 2, 23, 28.75, 0.570, 1.378, 0.004


0, 4, 8, 3, 23, 28.75, 0.560, 1.386, 0.004


0, 4, 8, 4, 23, 28.75, 0.590, 1.394, 0.004


0, 4, 8, 0, 23, 29, 0.600, 1.374, 0.004


0, 4, 8, 1, 23, 29, 0.580, 1.380, 0.004


0, 4, 8, 2, 23, 29, 0.580, 1.387, 0.004


0, 4, 8, 3, 23, 29, 0.570, 1.365, 0.004


0, 4, 8, 4, 23, 29, 0.580, 1.379, 0.004


0, 4, 8, 0, 23, 29.25, 0.580, 1.363, 0.004


0, 4, 8, 1, 23, 29.25, 0.580, 1.377, 0.004


0, 4, 8, 2, 23, 29.25, 0.580, 1.371, 0.004


0, 4, 8, 3, 23, 29.25, 0.570, 1.362, 0.004


0, 4, 8, 4, 23, 29.25, 0.590, 1.368, 0.004


0, 4, 8, 0, 23, 29.5, 0.570, 1.362, 0.004


0, 4, 8, 1, 23, 29.5, 0.590, 1.356, 0.004


0, 4, 8, 2, 23, 29.5, 0.570, 1.369, 0.004


0, 4, 8, 3, 23, 29.5, 0.570, 1.370, 0.004


0, 4, 8, 4, 23, 29.5, 0.580, 1.368, 0.004


0, 4, 8, 0, 23, 29.75, 0.550, 1.395, 0.004


0, 4, 8, 1, 23, 29.75, 0.550, 1.371, 0.004


0, 4, 8, 2, 23, 29.75, 0.560, 1.378, 0.004


0, 4, 8, 3, 23, 29.75, 0.540, 1.371, 0.004


0, 4, 8, 4, 23, 29.75, 0.550, 1.382, 0.004


0, 4, 8, 0, 23, 30, 0.490, 1.382, 0.004


0, 4, 8, 1, 23, 30, 0.490, 1.374, 0.004


0, 4, 8, 2, 23, 30, 0.470, 1.365, 0.004


0, 4, 8, 3, 23, 30, 0.490, 1.387, 0.004


0, 4, 8, 4, 23, 30, 0.490, 1.367, 0.004


0, 4, 8, 0, 23, 30.25, 0.430, 1.376, 0.004


0, 4, 8, 1, 23, 30.25, 0.430, 1.372, 0.004


0, 4, 8, 2, 23, 30.25, 0.430, 1.378, 0.004


0, 4, 8, 3, 23, 30.25, 0.430, 1.375, 0.004


0, 4, 8, 4, 23, 30.25, 0.430, 1.381, 0.004


0, 4, 8, 0, 23, 30.5, 0.400, 1.393, 0.004


0, 4, 8, 1, 23, 30.5, 0.400, 1.369, 0.004


0, 4, 8, 2, 23, 30.5, 0.390, 1.376, 0.004


0, 4, 8, 3, 23, 30.5, 0.400, 1.375, 0.004


0, 4, 8, 4, 23, 30.5, 0.400, 1.379, 0.004


0, 4, 8, 0, 23, 30.75, 0.380, 1.373, 0.004


0, 4, 8, 1, 23, 30.75, 0.390, 1.373, 0.004


0, 4, 8, 2, 23, 30.75, 0.390, 1.384, 0.004


0, 4, 8, 3, 23, 30.75, 0.380, 1.366, 0.004


0, 4, 8, 4, 23, 30.75, 0.380, 1.363, 0.004


0, 4, 8, 0, 23, 31, 0.390, 1.383, 0.004


0, 4, 8, 1, 23, 31, 0.390, 1.370, 0.004


0, 4, 8, 2, 23, 31, 0.390, 1.373, 0.004


0, 4, 8, 3, 23, 31, 0.390, 1.380, 0.004


0, 4, 8, 4, 23, 31, 0.390, 1.380, 0.004


0, 4, 8, 0, 23, 31.25, 0.380, 1.377, 0.004


0, 4, 8, 1, 23, 31.25, 0.380, 1.347, 0.004


0, 4, 8, 2, 23, 31.25, 0.380, 1.365, 0.004


0, 4, 8, 3, 23, 31.25, 0.380, 1.368, 0.004


0, 4, 8, 4, 23, 31.25, 0.380, 1.377, 0.004


0, 4, 8, 0, 23, 31.5, 0.380, 1.375, 0.004


0, 4, 8, 1, 23, 31.5, 0.380, 1.395, 0.004


0, 4, 8, 2, 23, 31.5, 0.390, 1.373, 0.004


0, 4, 8, 3, 23, 31.5, 0.390, 1.385, 0.004


0, 4, 8, 4, 23, 31.5, 0.390, 1.380, 0.004


0, 4, 8, 0, 23, 31.75, 0.390, 1.380, 0.004


0, 4, 8, 1, 23, 31.75, 0.380, 1.382, 0.004


0, 4, 8, 2, 23, 31.75, 0.390, 1.373, 0.004


0, 4, 8, 3, 23, 31.75, 0.380, 1.374, 0.004


0, 4, 8, 4, 23, 31.75, 0.380, 1.383, 0.004


